epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.656,2.88962,1.36608,1.98259,0.85644,0.77701,0.85845,0.52818,2.88779,1.3796,1.98997,0.000666018,0.000666018,0.000666018
2,524.213,2.94062,1.42457,2.00335,0.84684,0.7789,0.85413,0.52588,2.8858,1.41438,1.99417,0.00120075,0.00120075,0.00120075
3,742.076,2.96022,1.442,2.01006,0.85798,0.77767,0.85788,0.53235,2.85922,1.36352,1.98911,0.00160348,0.00160348,0.00160348
4,1036.46,2.94094,1.42244,2.00562,0.86428,0.77573,0.85908,0.53275,2.86067,1.37002,1.99048,0.001406,0.001406,0.001406
5,1255.03,2.92368,1.39957,2.00077,0.86817,0.78362,0.86757,0.54332,2.82584,1.33783,1.97747,0.001208,0.001208,0.001208
6,1521.95,2.90994,1.38157,1.99441,0.86968,0.79069,0.8706,0.54504,2.82447,1.31387,1.97132,0.00101,0.00101,0.00101
7,1752.31,2.88751,1.36293,1.98394,0.87388,0.79241,0.87413,0.54767,2.81532,1.29002,1.97306,0.000812,0.000812,0.000812
